Summary,Issue Type,Status,Project key,Project name,Priority,Assignee,Reporter,Creator,Component/s,Custom field (Bộ phận phản ánh),Custom field (Ghi chú (Mô tả vấn đề)),Custom field (Kênh hỗ trợ),Custom field (Loại hỗ trợ),Custom field (Loại lỗi),Custom field (Severity),Custom field (Thêm labels),Custom field (Độ khó),Custom field (Phân loại yêu cầu)
MongoDB Local Privilege Escalation Vulnerability (SERVER-93211),Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""MongoDB Local Privilege Escalation Vulnerability (SERVER-93211)""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: MongoDB is prone to a local privilege escalation vulnerability. Incorrect validation of files loaded from a local untrusted directory may allow local privilege escalation if the underlying operating systems is Windows. This may result in the application executing arbitrary behaviour determined by the contents of untrusted files.
- Impact: 
- Affected OS detected: Microsoft Windows Server 2016 or Microsoft Windows 10
- Affected services/hosts:
	Service: mongodb
- Resolution: Update to version 5.0.27, 6.0.16, 7.0.12, 7.3.3 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
MongoDB Log Spoofing Vulnerability (SERVER-50605),Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""MongoDB Log Spoofing Vulnerability (SERVER-50605)""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: MongoDB is prone to a log spoofing vulnerability. Sending specially crafted commands to a MongoDB Server may result in artificial log entries being generated or for log entries to be split.
- Impact: 
- Affected OS detected: Linux Kernel
- Affected services/hosts:
	Service: mongodb
	Service: mongodb
	Service: mongodb
	Service: mongodb
	Service: mongodb
	Service: mongodb
	Service: mongodb
	Service: mongodb
	Service: mongodb
	Service: mongodb
- Resolution: Update to version 3.6.21, 4.0.22, 4.2.11 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
MongoDB Missing Authorization Check Vulnerability (SERVER-79327) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""MongoDB Missing Authorization Check Vulnerability (SERVER-79327) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: MongoDB is prone to a missing authorization check vulnerability in refine collection shard key. A command for refining a collection shard key is missing an authorization check. This may cause the command to run directly on a shard, leading to either degradation of query performance, or to revealing chunk boundaries through timing side channels.
- Impact: 
- Affected OS detected: Microsoft Windows Server 2016 or Microsoft Windows 10
- Affected services/hosts:
	Service: mongodb
- Resolution: Update to version 5.0.22, 6.0.11, 7.0.3 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Oracle MySQL Server 5.7 <= 5.7.31 / 8.0 <= 8.0.21 Security Update (cpuoct2020) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server 5.7 <= 5.7.31 / 8.0 <= 8.0.21 Security Update (cpuoct2020) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
- Resolution: Update to version 5.7.32, 8.0.22 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Oracle MySQL Server 5.7 <= 5.7.31 Security Update (cpuoct2020) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server 5.7 <= 5.7.31 Security Update (cpuoct2020) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to a vulnerability leading to a Denial of Service or to an unauthorized modification of accessible data.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
- Resolution: Update to version 5.7.32 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Oracle MySQL Server 5.7 <= 5.7.32 / 8.0 <= 8.0.22 Security Update (cpujan2021) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server 5.7 <= 5.7.32 / 8.0 <= 8.0.22 Security Update (cpujan2021) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to an information disclosure vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
- Resolution: Update to version 5.7.33, 8.0.23 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Oracle MySQL Server 5.7 <= 5.7.32 Security Update (cpujan2021) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server 5.7 <= 5.7.32 Security Update (cpujan2021) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
- Resolution: Update to version 5.7.33 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Oracle MySQL Server <= 5.7.35 / 8.0 <= 8.0.26 Security Update (cpuoct2021) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.35 / 8.0 <= 8.0.26 Security Update (cpuoct2021) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.36, 8.0.27 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
Oracle MySQL Server <= 5.7.36 / 8.0 <= 8.0.27 Security Update (cpujan2022) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.36 / 8.0 <= 8.0.27 Security Update (cpujan2022) - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.37, 8.0.28 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
Oracle MySQL Server <= 5.7.36 / 8.0 <= 8.0.27 Security Update (cpuoct2022) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.36 / 8.0 <= 8.0.27 Security Update (cpuoct2022) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.37, 8.0.28 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Oracle MySQL Server <= 5.7.37 / 8.0 <= 8.0.28 Security Update (cpuapr2022) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.37 / 8.0 <= 8.0.28 Security Update (cpuapr2022) - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.38, 8.0.29 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
Oracle MySQL Server <= 5.7.38 / 8.0 <= 8.0.29 Security Update (cpujul2022) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.38 / 8.0 <= 8.0.29 Security Update (cpujul2022) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.39, 8.0.30 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
Oracle MySQL Server <= 5.7.39 / 8.0 <= 8.0.16 Security Update (cpuoct2022) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.39 / 8.0 <= 8.0.16 Security Update (cpuoct2022) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to an information disclosure vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.40, 8.0.17 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Oracle MySQL Server <= 5.7.39 / 8.0 <= 8.0.29 Security Update (cpuoct2022) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.39 / 8.0 <= 8.0.29 Security Update (cpuoct2022) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to an information disclosure vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.40, 8.0.30 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Oracle MySQL Server <= 5.7.39 / 8.0 <= 8.0.30 Security Update (cpuoct2022) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.39 / 8.0 <= 8.0.30 Security Update (cpuoct2022) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.40, 8.0.31 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
Oracle MySQL Server <= 5.7.40 Security Update (cpujan2023) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.40 Security Update (cpujan2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.41 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.40, 8.x <= 8.0.31 Security Update (cpuapr2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.40, 8.x <= 8.0.31 Security Update (cpuapr2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Low
- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.41, 8.0.32 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Low,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.40, 8.x <= 8.0.31 Security Update (cpujan2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.40, 8.x <= 8.0.31 Security Update (cpujan2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: Oracle MySQL Server is prone to a vulnerability in libcurl.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.41, 8.0.32 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.30 Security Update (cpuapr2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.30 Security Update (cpuapr2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.42, 8.0.31 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.31 Security Update (cpuapr2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.31 Security Update (cpuapr2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: Oracle MySQL Server is prone to a vulnerability in InnoDB (zlib).
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.42, 8.0.32 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.32 Security Update (cpuapr2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.32 Security Update (cpuapr2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.42, 8.0.33 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.32 Security Update (cpujul2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.41, 8.x <= 8.0.32 Security Update (cpujul2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.42, 8.0.33 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.42, 8.x <= 8.0.31 Security Update (cpuoct2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.42, 8.x <= 8.0.31 Security Update (cpuoct2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.43, 8.0.32 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.42, 8.x <= 8.0.33 Security Update (cpujul2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.42, 8.x <= 8.0.33 Security Update (cpujul2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to a unspecified vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.43, 8.0.34 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.42, 8.x <= 8.0.33 Security Update (cpuoct2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.42, 8.x <= 8.0.33 Security Update (cpuoct2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: High
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.43, 8.0.34 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,High,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.43, 8.x <= 8.0.31 Security Update (cpuoct2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.43, 8.x <= 8.0.31 Security Update (cpuoct2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.44, 8.0.32 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"Oracle MySQL Server <= 5.7.43, 8.x <= 8.0.34, 8.1.0 Security Update (cpuoct2023) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Trung bình,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 5.7.43, 8.x <= 8.0.34, 8.1.0 Security Update (cpuoct2023) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Critical
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 5.7.44, 8.0.35, 8.1.1 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Critical,,Trung bình,Bảo mật
Oracle MySQL Server <= 8.0.35 Security Update (cpuoct2024) - Windows,Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 8.0.35 Security Update (cpuoct2024) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 8.0.36 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"Oracle MySQL Server <= 8.0.38, 8.1 <= 8.4.1, 9.0 <= 9.0.1 Security Update (cpuoct2024) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 8.0.38, 8.1 <= 8.4.1, 9.0 <= 9.0.1 Security Update (cpuoct2024) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 8.0.39, 8.4.2, 9.0.2 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"Oracle MySQL Server <= 8.0.39, 8.1 <= 8.4.0 Security Update (cpuoct2024) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 8.0.39, 8.1 <= 8.4.0 Security Update (cpuoct2024) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 8.0.40, 8.4.1 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"Oracle MySQL Server <= 8.0.39, 8.1 <= 8.4.1, 9.0 <= 9.0.1 Security Update (cpuoct2024) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 8.0.39, 8.1 <= 8.4.1, 9.0 <= 9.0.1 Security Update (cpuoct2024) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to a denial of service (DoS) vulnerability.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 8.0.40, 8.4.2, 9.0.2 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
"Oracle MySQL Server <= 8.0.39, 8.1 <= 8.4.2, 9.0 <= 9.0.1 Security Update (cpuoct2024) - Windows",Vấn đề của khách hàng,Chờ xử lý,,,Thấp,,,,,TT PTPM,"Kính gửi Phòng QTHT,
Qua kết quả đánh giá an ninh TTDL Quý 2, Ban ANTT có ghi nhận lỗ hổng có thông tin như sau:
- Name: ""Oracle MySQL Server <= 8.0.39, 8.1 <= 8.4.2, 9.0 <= 9.0.1 Security Update (cpuoct2024) - Windows""
- CVSS: 
- Related CVE: []
- Severity: Medium
- Description: Oracle MySQL Server is prone to multiple vulnerabilities.
- Impact: 
- Affected OS detected: Microsoft Windows
- Affected services/hosts:
	Service: mysql
	Service: mysql
- Resolution: Update to version 8.0.40, 8.4.3, 9.0.2 or later.",Khối sản xuất,Lỗi phần mềm,Lỗi an ninh,Medium,,Trung bình,Bảo mật
